ztfname,ra_host,dec_host,mass,mass_err,restframe_gz,restframe_gz_err,d_dlr
ZTF17aadlxmv,127.44816107126852,33.90646824165965,10.424,0.116619037896906,1.06169653,0.018439088915,0.0837592388277846
ZTF18aaadqua,,,,,,,
ZTF18aaanzph,157.74695415809205,23.78854780905701,10.996,0.1232233744059949,1.35169653,0.018439088915,1.698443352548797
ZTF18aaapivw,102.56448084,27.14132321,8.515,0.1033247308247159,0.59169653,0.046861498055,2.969719009919704
ZTF18aaaqexr,175.77656208601454,15.566957098517696,10.774,0.1176605286406618,1.21169653,0.018439088915,0.102694231236722
ZTF18aaasvcd,142.23064004569983,49.23837201919829,9.555,0.116619037896906,1.37769653,0.021260291625,0.4315845234130771
ZTF18aabasml,166.48647813751998,37.62539824919998,9.87,0.1009752444909147,0.59069653,0.020615528128,0.2121806435601832
ZTF18aabdgik,175.5988973679892,10.264136252638531,10.851,0.1256025477448606,1.28469653,0.019104973175,0.0123699230874913
ZTF18aabqgnb,178.18926605251022,37.85455477752596,8.217,0.1069766329625306,1.01669653,0.054561891463,0.9118420613844124
ZTF18aabssme,155.712038250254,14.0545969361071,9.04,0.1021812115802117,0.73269653,0.022803508502,0.6913206728541682
ZTF18aabstmw,153.4604892203726,38.76487052567895,11.058,0.1407160260951111,1.41969653,0.018439088915,1.745908580616927
ZTF18aabsygo,139.0921515840713,10.231725905848537,10.45,0.1069766329625306,1.22269653,0.019849433241,0.0270239245604644
ZTF18aabsyqp,162.8194495024235,22.476883361153487,10.016,0.1017889974407843,0.75869653,0.021400934559,0.8120583355159555
ZTF18aabtaor,172.0979294249035,44.74915207545798,10.066,0.1026109155986827,0.71369653,0.023021728866,1.3575072486270807
ZTF18aabtiph,183.84639875911824,27.626209476536378,10.205,0.1268227108999015,1.26169653,0.018439088915,0.2076180526917295
ZTF18aabtwqb,112.586691091436,18.190475949166377,9.756,0.1028396810574595,0.72069653,0.023021728866,0.7187076381221577
ZTF18aabukgo,154.926571686452,43.36630576952926,9.743,0.1244025723206719,1.13469653,0.019104973175,0.0310405587531949
ZTF18aabvpeg,122.14992878858548,20.063088334369315,9.532,0.1038460398859773,0.80669653,0.019209372712,0.0783720305166173
ZTF18aabxrjp,185.54347268767813,26.994529875343368,10.123,0.1214948558581802,1.27269653,0.021213203436,0.1868588660460488
ZTF18aabyhlc,226.846817768642,38.420393301027225,10.003,0.1209297316626478,1.16969653,0.019849433241,1.5322682348750876
ZTF18aadzfso,106.8237097976823,43.316374903753854,10.634,0.1421302219797042,1.20269653,0.017691806013,0.0556634330138617
ZTF18aaermez,153.17885793366855,39.3739445564769,10.193,0.1046947945219818,1.17569653,0.019849433241,0.1240467356800988
ZTF18aagrcfl,236.09610232558995,39.55886423916196,10.23,0.1062826420446913,1.14869653,0.018439088915,0.3723120104185216
ZTF18aagrcir,215.69191216043453,49.3112193753917,8.586,0.1096585609973065,0.77869653,0.083186537372,3.1661605054023183
ZTF18aagrebu,250.917393700582,26.5966720101363,10.118,0.1028396810574595,0.74269653,0.02,1.2491434615157684
ZTF18aagrgao,251.8571063880705,25.684801389808523,11.05,0.1268227108999015,1.23269653,0.025238858928,0.5605261794861128
ZTF18aagrtxs,198.60868974101308,50.979166235587,10.583,0.1546738504078824,1.26869653,0.018439088915,0.3916383073814234
ZTF18aagstdc,237.5148497782924,42.0884478626808,7.942,0.1531535177526131,1.08269653,0.162111073033,0.1460099534859819
ZTF18aagtcxj,248.04770989988072,42.71385211546716,10.268,0.1203702621082134,1.55269653,0.018439088915,0.1389646122945981
ZTF18aaguhgb,219.4542504875128,45.54841117346075,10.691,0.1017889974407843,1.16269653,0.029681644159,0.9335770367710786
ZTF18aahatvc,230.5190364350504,30.048886998078284,9.664,0.1035808862676893,0.62969653,0.022803508502,0.1757937712850063
ZTF18aahesrp,128.938943539159,28.270466967160104,8.934,0.105304320899002,0.61769653,0.037576588456,0.7581887214531228
ZTF18aahfbqp,156.67859705638602,21.72400736348056,10.879,0.136561341528267,1.31169653,0.018439088915,0.0986457801077809
ZTF18aahfeiy,154.31164096224964,43.52192036364878,10.077,0.1007174264961133,0.84269653,0.020518284529,1.6241435318009594
ZTF18aahfgsk,181.2458313091976,32.39117840096614,10.825,0.1226417547167358,1.18869653,0.018384776311,0.8639505585646836
ZTF18aahfgyz,175.2821826612736,24.82178540384285,10.672,0.1338693392827498,1.36169653,0.019209372712,0.5320197872124722
ZTF18aahfxnn,176.54863406854167,9.354755889401906,9.548,0.1069766329625306,0.86469653,0.029681644159,0.8844447210417651
ZTF18aahfzea,181.3662715613203,20.30876339152842,10.441,0.1226417547167358,1.17369653,0.019849433241,1.920277153277336
ZTF18aahheaj,195.1118313826348,18.61971481898828,9.313,0.1007174264961133,0.59969653,0.02941088234,1.2079792874825086
ZTF18aahhenr,207.3614725873381,26.461856214521408,10.749,0.1479222768889121,1.25169653,0.018439088915,0.9210947101708326
ZTF18aahjafd,198.274415584877,23.4593490200837,9.313,0.1203702621082134,1.15069653,0.019104973175,0.035761157639034
ZTF18aahjaxz,193.45251905234807,29.588360422867773,10.684,0.1113597772986279,1.05669653,0.019849433241,0.9856741755709528
ZTF18aahoymn,140.7451558,9.06983087,6.851,0.223606797749979,0.56169653,1.159284693248,1.2525400333471397
ZTF18aahpaoa,144.455529823111,12.4640239216568,8.203,0.1736778627229158,0.05569653,0.285539839602,0.0764080278328605
ZTF18aahptcq,162.3180951252904,26.37011069892076,10.937,0.1044030650891055,1.22369653,0.017804493815,0.9838835509978566
ZTF18aahpzhc,153.23193464013906,46.41768456260155,10.741,0.130598621738516,1.27769653,0.018439088915,0.6024312565807893
ZTF18aahqavd,159.5159410096218,45.25714474358207,9.589,0.1118033988749895,0.26069653,0.08319855768,0.8287403196311536
ZTF18aahqmsr,159.64996242622846,35.97126740260834,9.186,0.1026109155986827,0.59969653,0.026925824036,0.3960501847338717
ZTF18aahrdpu,127.80794003615162,28.2802659062184,10.261,0.1161077086157504,1.25869653,0.029681644159,0.1301471196654422
ZTF18aahshhp,190.2056643262158,25.75036805885458,10.846,0.1262101422231985,1.20869653,0.016970562748,0.180327282932328
ZTF18aahsmrw,181.9523344538759,22.59714896549067,10.319,0.1325481044753187,1.25269653,0.019849433241,0.095339677037743
ZTF18aahtjsc,169.20501775709266,46.91067438496359,10.415,0.159298462013919,1.23769653,0.018439088915,0.2903158651045008
ZTF18aahvndq,198.72267945748305,27.008049541031625,10.09,0.1026109155986827,1.37269653,0.02,0.1577095450948597
ZTF18aaiajvb,246.0558573509605,25.27183486138176,8.355,0.279501341678354,0.79169653,1.26459835521,1.0050917399186072
ZTF18aaialps,254.749855531948,34.5804155880761,7.697,0.389070687664851,-0.02630347,1.194316959605,0.669526426741879
ZTF18aaibcxu,239.74349384897263,63.708051043257775,10.593,0.1028396810574595,1.23369653,0.018439088915,1.3332036725232392
ZTF18aaibibr,261.6407294674086,34.373917245888855,10.255,0.1046947945219818,1.02169653,0.018439088915,0.2871416427778787
ZTF18aaifxvz,170.55532339931955,24.317159503705422,10.706,0.130598621738516,1.38569653,0.018439088915,0.1140296606105555
ZTF18aaigbvt,174.11562069480073,17.921408989779167,9.846,0.122065556157337,1.10669653,0.047010637094,0.098942518029676
ZTF18aailmnv,214.202207615461,58.4859559256008,9.383,0.1712337583538947,0.68569653,0.103754517974,0.6610151594314413
ZTF18aaimxdx,266.0355428520127,39.356746995163896,9.488,0.1435583505059876,1.17769653,0.020518284529,2.0398534501277354
ZTF18aairuad,177.93723355616234,57.7998850297568,9.826,0.1017889974407843,0.64269653,0.023600847442,1.103006602310051
ZTF18aaiscil,185.392445072619,55.5743567948741,7.409,0.1720465053408525,0.49569653,0.146931957041,0.2535691106279991
ZTF18aaisqmw,176.3571587480283,55.52703154929162,10.142,0.1049952379872535,0.77569653,0.017691806013,0.1947868560871609
ZTF18aaitbcm,200.670520840124,54.3523043730317,7.787,0.6161688080388361,1.23469653,1.044440520087,0.4232671252143133
ZTF18aaitowa,241.1414552708345,71.47376560527292,10.378,0.1680029761641144,1.34569653,0.037589892258,3.942685812983516
ZTF18aaiwkwk,239.1930928938068,35.02507381184613,10.739,0.1192686044187656,1.33169653,0.020615528128,0.3743462388430069
ZTF18aaixjrc,213.37922727659577,43.621717439442506,9.841,0.1118033988749895,0.83669653,0.035355339059,0.0608421251542221
ZTF18aaiykoz,239.4976967169873,40.03392660442597,9.939,0.105304320899002,0.69969653,0.019849433241,0.0588425698552751
ZTF18aaizerg,219.6979121049117,50.10300692846833,10.287,0.1033247308247159,1.08669653,0.017691806013,0.2287816972484202
ZTF18aajivpr,179.19660937682048,52.48433729910774,10.204,0.1226417547167358,1.08269653,0.017691806013,0.4544929049509811
ZTF18aajnrgu,,,,,,,
ZTF18aajnuef,206.6485540735496,29.112837021266607,10.701,0.1203702621082134,1.45269653,0.018439088915,1.2702139609997305
ZTF18aajpjdi,199.5276394063256,27.87312817008763,9.541,0.1014347080638575,0.60069653,0.022803508502,0.422527478250635
ZTF18aajsbbq,258.76364745208747,34.82803238676626,10.136,0.1030776406404415,1.02369653,0.019209372712,0.0266432538343455
ZTF18aajtlbf,261.9688713063283,60.09725419066697,10.466,0.1608601877407831,1.35369653,0.019209372712,0.5817158467289074
ZTF18aajwdwz,124.91484568848738,27.531054290799933,10.208,0.1100727032465361,0.79869653,0.028653097564,1.9874813752121088
ZTF18aakaljn,145.29343272463737,24.02277159471316,10.675,0.1044030650891055,0.89069653,0.018439088915,0.3333698103738217
ZTF18aakcsqt,184.5106292860229,19.620633373606275,8.91,0.1069766329625306,0.69169653,0.055072679252,0.430661299388306
ZTF18aakdyym,210.0171550045292,61.08564216133952,9.193,0.1077032961426901,0.67269653,0.057584720196,1.121259771757236
ZTF18aakepih,185.57908021815345,9.031436479536245,10.111,0.1019803902718557,0.88169653,0.047413078365,1.1481100161160107
ZTF18aakglgw,222.6938180664336,54.41118701023253,11.307,0.1640121946685672,1.33769653,0.018439088915,1.4488561324076787
ZTF18aakiwbs,229.4026060434365,57.185101447916495,10.444,0.1238103388251562,1.14069653,0.020615528128,0.0195238703814454
ZTF18aaklpdo,177.45088730316562,25.65041273485299,10.659,0.1358823020117042,1.19569653,0.018439088915,0.2168452884637309
ZTF18aakoylt,179.5478791139625,49.32081703428251,9.995,0.1017889974407843,0.75269653,0.027294688128,1.4450037192929936
ZTF18aakpigz,179.5886780045795,55.9285656247956,10.1,0.1187265766372466,1.24369653,0.019104973175,0.134695898843635
ZTF18aaksugk,207.09546388551576,14.878930246904048,9.081,0.1030776406404415,0.71869653,0.028301943396,0.8600558395131552
ZTF18aakzliv,,,,,,,
ZTF18aalcxig,269.96019826748113,40.82662844784296,9.541,0.1011187420807834,0.30369653,0.028653097564,0.5613896395548662
ZTF18aalurka,150.77958566,-15.47612329,10.623,0.1041201229350023,1.21469653,0.019209372712,0.8246564789116299
ZTF18aamigmk,269.41898233733605,50.03346204424288,9.26,0.1023914058893616,0.69369653,0.022203603311,1.0429633926899886
ZTF18aamlhee,240.45247842766707,47.388022909652776,11.028,0.1624315240339756,1.36469653,0.019209372712,0.8672187460413915
ZTF18aamlqqh,266.986006797673,34.93271932830423,9.1,0.1080786750473931,0.47169653,0.026076809621,0.1048138714813445
ZTF18aamsgjq,196.44594817885263,59.84333298553248,10.755,0.1358823020117042,1.26469653,0.019104973175,0.0355610526730778
ZTF18aandjhu,263.526819932681,25.3439703431618,11.069,0.1720465053408525,1.39969653,0.017691806013,0.0446549894174323
ZTF18aangpkx,255.33879371250288,32.785592599030245,10.846,0.1464547711752676,1.30469653,0.018439088915,0.1565188478663892
ZTF18aansqun,251.292147289144,42.71767615227963,10.246,0.1062826420446913,0.92569653,0.019104973175,0.1058353143118705
ZTF18aanygjk,273.0636098021655,56.62001818856893,10.843,0.1203702621082134,1.15669653,0.017029386366,0.1615300101581802
ZTF18aaobdza,172.64725171320194,46.49643308224735,10.509,0.1262101422231985,1.17169653,0.03001666204,0.6364878263647649
ZTF18aaobguk,178.0494471178955,51.36003912813876,10.106,0.1161077086157504,1.64169653,0.063245553203,0.1153760438862886
ZTF18aaobjwr,174.14519783444467,34.589449698793885,10.634,0.1198165264060012,1.37969653,0.028653097564,0.5231134783081158
ZTF18aaocqhe,199.8580088962408,66.3920482578423,9.911,0.1030776406404415,0.81669653,0.054626001135,0.2560134029081113
ZTF18aaocrmb,179.52510658250725,58.9860442263698,9.088,0.1100727032465361,1.18769653,0.094413982015,0.1578637497119577
ZTF18aaodnxt,202.01653809649792,34.332707701642725,10.667,0.1393161871427724,1.36269653,0.018439088915,1.0082307455493629
ZTF18aaodrgt,217.2467970197358,17.32056527251976,11.251,0.1656019323558756,1.29569653,0.017691806013,1.8725931110051337
