ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF17aadlxmv,10.001,0.025,1.21869653,0.017029386366
ZTF18aaadqua,6.743,0.344,0.32169653,1.289935269694
ZTF18aaanzph,8.344,0.168,1.28769653,0.500015999744
ZTF18aaapivw,7.507,0.092,0.60769653,0.336145801699
ZTF18aaaqexr,10.727,0.065,1.31369653,0.017691806013
ZTF18aaasvcd,9.351,0.065,1.44469653,0.020615528128
ZTF18aabasml,9.18,0.039,0.82269653,0.02
ZTF18aabdgik,10.498,0.131,1.35069653,0.018384776311
ZTF18aabqgnb,8.068,0.042,1.05269653,0.054037024344
ZTF18aabssme,8.637,0.023,0.66069653,0.025
ZTF18aabstmw,8.802,0.088,1.36269653,0.02334523506
ZTF18aabsygo,10.128,0.113,1.28469653,0.018439088915
ZTF18aabsyqp,8.602,0.03,0.76869653,0.044283179651
ZTF18aabtaor,7.308,0.235,0.35269653,0.438320658879
ZTF18aabtiph,10.123,0.036,1.27569653,0.018439088915
ZTF18aabtwqb,8.587,0.024,0.76069653,0.090956033335
ZTF18aabukgo,9.479,0.02,1.11969653,0.018384776311
ZTF18aabvpeg,9.173,0.033,0.95569653,0.02
ZTF18aabxrjp,10.067,0.019,1.25569653,0.019104973175
ZTF18aabyhlc,7.405,0.263,0.73269653,0.375373147681
ZTF18aadzfso,10.272,0.018,1.34669653,0.017691806013
ZTF18aaermez,9.556,0.053,1.19069653,0.018384776311
ZTF18aagrcfl,9.481,0.04,1.27369653,0.019104973175
ZTF18aagrcir,7.987,0.545,1.95669653,0.741351468603
ZTF18aagrebu,8.522,0.026,0.93569653,0.036055512755
ZTF18aagrgao,9.567,0.119,1.27369653,0.048548944376
ZTF18aagrtxs,9.062,0.057,1.27269653,0.021260291625
ZTF18aagstdc,7.874,0.481,1.24969653,1.128405069113
ZTF18aagtcxj,9.87,0.062,1.67869653,0.019104973175
ZTF18aaguhgb,8.676,0.065,1.28069653,0.127318498263
ZTF18aahatvc,9.219,0.031,0.66369653,0.030479501308
ZTF18aahesrp,8.787,0.035,0.67069653,0.036235341864
ZTF18aahfbqp,10.543,0.118,1.29569653,0.017691806013
ZTF18aahfeiy,6.999,0.24,0.57469653,0.395203744922
ZTF18aahfgsk,8.722,0.031,1.09769653,0.029732137495
ZTF18aahfgyz,10.119,0.043,1.36269653,0.019209372712
ZTF18aahfxnn,8.305,0.058,0.66469653,0.091678787077
ZTF18aahfzea,7.331,0.168,1.07269653,0.268570288751
ZTF18aahheaj,7.604,0.191,0.54269653,0.145794375749
ZTF18aahhenr,8.852,0.093,1.13169653,0.047434164903
ZTF18aahjafd,9.279,0.073,1.16369653,0.018439088915
ZTF18aahjaxz,8.576,0.047,1.00469653,0.035510561809
ZTF18aahoymn,6.844,0.349,0.09469653,1.215896788383
ZTF18aahpaoa,8.12,0.19,-0.15830347,0.390888730971
ZTF18aahptcq,8.513,0.131,1.22269653,0.064536811201
ZTF18aahpzhc,9.425,0.081,1.23069653,0.019849433241
ZTF18aahqavd,8.317,0.193,0.15569653,0.27656825559
ZTF18aahqmsr,8.773,0.016,0.50969653,0.028017851452
ZTF18aahrdpu,9.924,0.054,1.45969653,0.053535035257
ZTF18aahshhp,10.451,0.025,1.20269653,0.017029386366
ZTF18aahsmrw,10.078,0.02,1.22069653,0.019104973175
ZTF18aahtjsc,10.087,0.089,1.26869653,0.017691806013
ZTF18aahvndq,9.487,0.098,1.42069653,0.019104973175
ZTF18aaiajvb,7.514,0.318,1.32369653,1.360141169144
ZTF18aaialps,7.309,0.391,0.05369653,1.280895389952
ZTF18aaibcxu,8.283,0.063,1.22469653,0.077466121627
ZTF18aaibibr,9.356,0.03,1.09569653,0.019849433241
ZTF18aaifxvz,10.441,0.02,1.38669653,0.019104973175
ZTF18aaigbvt,9.717,0.045,1.15269653,0.043600458713
ZTF18aailmnv,8.281,0.052,0.70869653,0.114586212085
ZTF18aaimxdx,8.318,0.085,1.02469653,0.066037867924
ZTF18aairuad,7.959,0.113,0.40169653,0.090443352437
ZTF18aaiscil,7.281,0.199,0.34169653,0.651621055522
ZTF18aaisqmw,9.628,0.02,0.81369653,0.017691806013
ZTF18aaitbcm,8.088,0.739,1.39169653,2.008312973617
ZTF18aaitowa,7.744,0.895,2.00069653,1.755289434823
ZTF18aaiwkwk,10.188,0.051,1.27269653,0.019104973175
ZTF18aaixjrc,9.514,0.045,1.07369653,0.028844410204
ZTF18aaiykoz,9.55,0.047,0.83769653,0.019104973175
ZTF18aaizerg,9.781,0.025,1.20069653,0.017691806013
ZTF18aajivpr,9.383,0.041,1.09069653,0.027586228448
ZTF18aajnrgu,,-9.0,,
ZTF18aajnuef,8.392,0.066,1.22369653,0.101044544633
ZTF18aajpjdi,9.153,0.015,0.59169653,0.022203603311
ZTF18aajsbbq,9.84,0.018,1.04169653,0.019104973175
ZTF18aajtlbf,9.191,0.112,1.36169653,0.019849433241
ZTF18aajwdwz,6.962,0.469,1.07569653,1.142130027624
ZTF18aakaljn,9.442,0.059,1.11069653,0.019209372712
ZTF18aakcsqt,8.316,0.044,0.56969653,0.085866174947
ZTF18aakdyym,8.073,0.118,0.88669653,0.735847810352
ZTF18aakepih,8.478,0.169,0.89469653,0.310934076614
ZTF18aakglgw,8.526,0.082,1.45469653,0.052325901808
ZTF18aakiwbs,9.973,0.065,1.09669653,0.02
ZTF18aaklpdo,10.32,0.069,1.17169653,0.018439088915
ZTF18aakoylt,8.285,0.051,0.92169653,0.099020199959
ZTF18aakpigz,9.857,0.066,1.35269653,0.019798989873
ZTF18aaksugk,8.333,0.034,0.76869653,0.045793012567
ZTF18aakzliv,,-9.0,,
ZTF18aalcxig,8.633,0.025,0.53469653,0.039812058475
ZTF18aalurka,8.998,0.08,1.19669653,0.022671568098
ZTF18aamigmk,7.246,0.096,0.65669653,0.183918460194
ZTF18aamlhee,8.794,0.11,1.32069653,0.032202484376
ZTF18aamlqqh,8.81,0.048,0.86669653,0.034058772732
ZTF18aamsgjq,10.415,0.029,1.24569653,0.020518284529
ZTF18aandjhu,10.739,0.06,1.35169653,0.018439088915
ZTF18aangpkx,10.411,0.126,1.34569653,0.018384776311
ZTF18aansqun,9.766,0.034,1.02869653,0.017691806013
ZTF18aanygjk,10.343,0.047,1.10769653,0.016970562748
ZTF18aaobdza,8.813,0.056,1.25969653,0.101671038157
ZTF18aaobguk,8.613,0.073,0.72069653,0.170496334271
ZTF18aaobjwr,9.296,0.064,1.48569653,0.104623133197
ZTF18aaocqhe,9.155,0.048,0.99069653,0.139014387745
ZTF18aaocrmb,9.166,0.122,1.21769653,0.213784938665
ZTF18aaodnxt,8.619,0.07,1.26669653,0.060811183182
ZTF18aaodrgt,6.991,0.531,1.20269653,0.566095398321
ZTF18aaoektp,8.647,0.03,0.64069653,0.021400934559
ZTF18aaommeg,9.742,0.069,1.46869653,0.074323616704
ZTF18aaotzhu,5.611,0.734,1.25469653,2.269925989983
ZTF18aaoufjt,9.466,0.04,0.98769653,0.018439088915
ZTF18aaovbiy,9.233,0.024,1.28569653,0.029732137495
ZTF18aaoxrup,10.388,0.055,1.37069653,0.017691806013
ZTF18aaphzut,9.334,0.069,1.49769653,0.034058772732
ZTF18aapictz,7.405,0.159,0.17369653,0.438712890169
ZTF18aapqwyv,9.739,0.03,1.13869653,0.018384776311
ZTF18aapsedq,8.999,0.09,1.47869653,0.075286120899
ZTF18aapuntm,9.268,0.018,0.86569653,0.042485291572
ZTF18aaqcozd,8.116,0.273,1.64469653,0.493433886149
ZTF18aaqcqkv,9.455,0.064,1.34169653,0.058668560575
ZTF18aaqcqve,8.582,0.127,0.71869653,0.299282475264
ZTF18aaqcqvr,9.099,0.043,0.89169653,0.024839484697
ZTF18aaqcugm,6.559,0.572,0.45669653,1.200540711513
ZTF18aaqculk,7.966,0.097,1.02769653,0.134260939964
ZTF18aaqeasu,7.353,0.159,0.73969653,0.472800169205
ZTF18aaqedfj,9.337,0.099,1.19769653,0.021260291625
ZTF18aaqehoc,9.645,0.037,1.18569653,0.017691806013
ZTF18aaqeygf,7.974,0.273,0.73569653,0.28492981592
ZTF18aaqffyp,7.814,0.156,0.10669653,0.203960780544
ZTF18aaqfkqh,8.856,0.147,1.26269653,0.022671568098
ZTF18aaqfziz,8.976,0.052,1.15669653,0.030232432916
ZTF18aaqgadq,9.003,0.059,1.24769653,0.03
ZTF18aaqgbju,7.749,0.138,0.46769653,0.197362610441
ZTF18aaqgoqw,8.471,0.055,0.94469653,0.084219950131
ZTF18aaqjhqz,7.774,0.18,0.14669653,0.72336159699
ZTF18aaqjvjr,8.772,0.087,0.86969653,0.089498603341
ZTF18aaqjxid,8.305,0.092,0.54769653,0.218634398026
ZTF18aaqkcso,8.363,0.029,0.97669653,0.024207436874
ZTF18aaqkjuw,10.074,0.032,1.42669653,0.022803508502
ZTF18aaqkqxi,9.879,0.075,1.22969653,0.019104973175
ZTF18aaqnrum,7.665,0.51,1.10569653,0.813260720802
ZTF18aaqpjja,9.299,0.039,1.03269653,0.022022715546
ZTF18aaqpkvx,10.1,0.021,1.22869653,0.019104973175
ZTF18aaqpsvo,8.446,0.079,0.74269653,0.169094648053
