ztfname,ra_host,dec_host,mass_x,mass_err_x,restframe_gz_x,restframe_gz_err_x,d_dlr,mass_y,mass_err_y,restframe_gz_y,restframe_gz_err_y,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted
ZTF17aadlxmv,127.44816107126852,33.90646824165965,10.424,0.116619037896906,1.06169653,0.018439088915,0.0837592388277846,10.001,0.025,1.21869653,0.017029386366,0.06201943,1.281e-05,z_gal,58878.08527692311,0.0011256161679871,0.4599662001239373,0.0620735392009159,0.2192797805473674,3.6800816899900616e-05,0.1385185754747672,0.0306927240680974,-1.0240764001517148e-06,-0.0205204427381112,0.0009419947807036,-2.352974755908369e-07,-9.774326746660075e-07,-0.0001376858365454,0.0333346510424899,3.1,0.0,0.178353086631313,127.448018,33.906536,snia-cosmo,norm,1.0,1.0,2020adv,100.0
ZTF18aaadqua,,,,,,,,6.743,0.344,0.32169653,1.289935269694,0.07867182,0.00280713,z_snid,58130.778798013016,0.0008450096819784,4.999998733105365,-0.3927343492360891,14.743977162303054,0.0001031025718184,5.31430714783866,1.1361246203915862,-0.001295637585425,0.0135172635949721,-0.4999532598253262,-6.40468735844764e-08,-9.798965956410384e-05,4.774349098131618e-05,0.0417835289023646,3.1,0.0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0
ZTF18aaanzph,157.74695415809205,23.78854780905701,10.996,0.1232233744059949,1.35169653,0.018439088915,1.698443352548797,8.344,0.168,1.28769653,0.500015999744,0.06371792,1.602e-05,z_gal,58138.01446139018,0.0002754908509412,-1.2249032047270003,0.567259712432309,8.87383468488406,0.0003504125333779,0.5145994273567801,1.2625032625647157,0.0031615995970971,2.231425493105065,-10.272314741336883,8.363189355405697e-05,-0.0003987895938259,-0.2795694724783727,0.0161493472492244,3.1,0.0,0.5768952765578739,157.743465,23.788356,snia-cosmo,norm,0.0,0.0,2018kc,100.0
ZTF18aaapivw,102.56448084,27.14132321,8.515,0.1033247308247159,0.59169653,0.046861498055,2.969719009919704,7.507,0.092,0.60769653,0.336145801699,0.02634147,0.00432782,z_snid,58152.8735258806,0.0010081105001041,-4.999998316740443,0.6609680733538847,0.9717548145163164,0.0009425293709127,2.279240776670842,0.5867684170605021,-2.137835425439716e-05,-4.366512424655898e-05,-0.0630553996636496,1.1644334458250715e-09,-0.000626915837884,2.0026718920503803e-06,0.0876848010003119,3.1,0.0,0.2490739134846925,102.563278,27.140073,snia-cosmo,norm,0.0,0.0,2018xi,100.0
ZTF18aaaqexr,175.77656208601454,15.566957098517696,10.774,0.1176605286406618,1.21169653,0.018439088915,0.102694231236722,10.727,0.065,1.31369653,0.017691806013,0.07025791,2.194e-05,z_gal,58893.68792278293,0.0006097148267925,-1.4372463880376765,0.0482285294115577,0.1709066789553617,2.0791246198910635e-05,0.2252383356556103,0.0322714955303222,-5.336431880285684e-07,-0.0035688245160672,4.7336166462844494e-05,-1.1349570390411773e-06,-5.625456748002058e-07,0.0011678884429923,0.0315594796491652,3.1,0.0,0.0383224979598855,175.776516,15.567129,snia,,1.0,1.0,2020chl,100.0
ZTF18aaasvcd,142.23064004569983,49.23837201919829,9.555,0.116619037896906,1.37769653,0.021260291625,0.4315845234130771,9.351,0.065,1.44469653,0.020615528128,0.00910671,1.016e-05,z_gal,,,,,,,,,,,,,,,0.0123406790464591,3.1,0.0,0.0,142.229652,49.238127,snia-cosmo,norm,0.0,0.0,2018pc,100.0
ZTF18aabasml,166.48647813751998,37.62539824919998,9.87,0.1009752444909147,0.59069653,0.020615528128,0.2121806435601832,9.18,0.039,0.82269653,0.02,0.04726883,1.308e-05,z_gal,58171.94225059728,0.0004579870811459,4.999979792566421,1.008026309179062,0.8051991469001223,9.887422447450234e-05,7.109740674772212,0.1482685984601599,-2.681980506744353e-05,5.051952420120624e-05,0.0183067316252279,-3.4944872888140785e-08,-1.4427561376083847e-05,5.8785652378544944e-05,0.0109495893284358,3.1,0.0,0.9775997614882432,166.486441,37.625088,snia-cosmo,norm,0.0,0.0,2018tz,100.0
ZTF18aabdgik,175.5988973679892,10.264136252638531,10.851,0.1256025477448606,1.28469653,0.019104973175,0.0123699230874913,10.498,0.131,1.35069653,0.018384776311,0.02160394,1.242e-05,z_gal,58430.41847938639,0.0103334757092468,-0.5596234492142544,-0.3999999785027163,0.4023501689880504,0.0003177146310049,0.3360106435285712,1.5561573947182556,-1.4512118234302002e-05,-0.0871614915588101,-1.172240109316731e-06,-2.634211798818944e-05,-9.509098763196269e-09,-1.3853945941373265e-06,0.0489081764422941,3.1,0.0,0.4841749415051043,175.598841,10.264214,snia-cosmo,norm,0.0,0.0,2018hzg,100.0
ZTF18aabqgnb,178.18926605251022,37.85455477752596,8.217,0.1069766329625306,1.01669653,0.054561891463,0.9118420613844124,8.068,0.042,1.05269653,0.054037024344,0.03609448,0.00320039,z_snid,58174.45632799804,0.0010154177022092,2.262981035908818,0.546845722429048,0.4759342230718175,0.0003225208937289,1.4969341672154832,0.1872305425002258,-0.0001303156258877,0.6171959649434136,0.073973273789855,-0.0004744825578714,-6.061687203826361e-05,0.2718646150588094,0.0183147420084224,3.1,0.0,0.9987788073438428,178.189495,37.854296,snia-cosmo,norm,1.0,0.0,2018yc,100.0
ZTF18aabssme,155.712038250254,14.0545969361071,9.04,0.1021812115802117,0.73269653,0.022803508502,0.6913206728541682,8.637,0.023,0.66069653,0.025,0.04168907,1.023e-05,z_gal,58184.828820717805,0.0026015885259798,-1.4107024165224678,0.0108298079383954,3.758744773829676,0.0011014175814283,2.558823558390531,0.3280597315642612,-0.0002692297787612,-8.072329432718144,0.3211260200989447,-0.0016079816780197,-0.0003687246245375,0.3463898257668328,0.0346484760401361,3.1,0.0,0.5837131942086724,155.711512,14.05482,snia-cosmo,norm,0.0,0.0,2018aca,100.0
